Sector,Project ID,Parent company,Company Country (HQ),Project Status,Destination Country,Destination city,Year Announced,Year Completed,Technology,Industry activity,Capital Investment (US$m),Expansion,Joint Venture,Joint Venture Local,Joint Venture Company,Source (Parent company name and HQ),Source (Project Status),"Source (Project location, country and city)",Source (Amount),"Source (Ownership share, where available)",Source (Date Announced [MM/DD/YYYY]),Source (Date Completed [MM/DD/YYYY]),Source (Industry Activity),Source (Joint Venture),Operational
Solar,HARSOL68,Huitian Adhesive,China,Completed,Vietnam,Hai Duong (Hải Dương),2023,2024,Solar,Manufacturing,1500,0,0,0,,https://www.industryglue.com/aboutus.html,https://www.industryglue.com/aboutus.html,https://www.industryglue.com/aboutus.html,https://www.mida.gov.my/mida-news/sbh-kibing-inks-rm7-2-billion-deal-for-solar-glass-plant-in-kimanis/,,https://www.industryglue.com/aboutus.html,https://taiyangnews.info/markets/vertical-integration-for-solar-pv-in-vietnam,[UNVERIFIED] https://taiyangnews.info/markets/vertical-integration-for-solar-pv-in-vietnam,,Operational
Solar,HARSOL83,Kibing Solar,China,Announced,Malaysia,Kimanis (Sabah),2024,N/A,Solar,Manufacturing,1500,0,0,0,,https://www.saurenergy.asia/kibing-group-to-build-usd-1-5-billion-solar-glass-plant-in-malaysia/,https://www.thestar.com.my/business/business-news/2024/11/14/solar-glass-plant-in-kimanis-gets-the-green-light,https://www.malaymail.com/news/money/2024/11/13/chinas-sbh-kibing-inks-rm72b-deal-for-sabahs-largest-solar-glass-plant-with-glcs/156753,https://www.saurenergy.asia/kibing-group-to-build-usd-1-5-billion-solar-glass-plant-in-malaysia/,https://sabahenergycorp.com/,https://www.thestar.com.my/business/business-news/2024/11/14/solar-glass-plant-in-kimanis-gets-the-green-light,https://insideclimatenews.org/news/10062009/chinas-trina-solar-bets-americas-thriving-photovoltaics-market/,https://www.malaymail.com/news/money/2024/11/13/chinas-sbh-kibing-inks-rm72b-deal-for-sabahs-largest-solar-glass-plant-with-glcs/156753,,Announced only
Solar,HARSOL128,TCL Zhonghuan,China,Announced,Saudi Arabia,TBD,2023,N/A,Solar,Manufacturing,1500,0,1,1,"RELC, VI",https://www.pvtime.org/20gw-tcl-zhonghuan-partners-with-saudi-vision-and-pif-to-build-large-scale-solar-wafer-factory-in-saudi-arabia/,https://www.yicaiglobal.com/news/chinas-tcl-zhonghuan-saudis-vision-industries-to-build-solar-wafer-plant-in-saudi-arabia,[UNVERIFIED] https://www.pvtime.org/20gw-tcl-zhonghuan-partners-with-saudi-vision-and-pif-to-build-large-scale-solar-wafer-factory-in-saudi-arabia/,https://www.pvtime.org/20gw-tcl-zhonghuan-partners-with-saudi-vision-and-pif-to-build-large-scale-solar-wafer-factory-in-saudi-arabia/,https://www.pvtime.org/20gw-tcl-zhonghuan-partners-with-saudi-vision-and-pif-to-build-large-scale-solar-wafer-factory-in-saudi-arabia/,https://www.yicaiglobal.com/news/20230525-08-tcl-zhonghuan-gains-on-tie-up-with-saudi-arabias-vision-to-build-kingdoms-first-solar-wafer-plant,https://taiyangnews.info/business/ae-solar-building-1-gw-solar-module-fab-in-turkey/,https://www.pv-tech.org/saudi-arabia-signs-deals-for-30gw-domestic-solar-pv-manufacturing/,https://www.pvtime.org/20gw-tcl-zhonghuan-partners-with-saudi-vision-and-pif-to-build-large-scale-solar-wafer-factory-in-saudi-arabia/,Announced only
Solar,HARSOL119,SolarSpace,China,Completed,Laos,Vientiane (Saysettha Development Zone),2023,2024,Solar,Manufacturing,1067,0,0,0,,https://www.pv-magazine.com/2023/09/27/solarspace-launches-first-phase-of-5-gw-pv-factory-in-laos/,https://www.pv-tech.org/solarspace-begins-cell-production-at-first-laos-manufacturing-plant/,https://www.pv-magazine.com/2023/09/27/solarspace-launches-first-phase-of-5-gw-pv-factory-in-laos/,Investment value not publicly disclosed,,https://www.pv-magazine.com/2023/09/27/solarspace-launches-first-phase-of-5-gw-pv-factory-in-laos/,https://www.pv-tech.org/solarspace-begins-cell-production-at-first-laos-manufacturing-plant/ (year only),https://www.pv-magazine.com/2023/09/27/solarspace-launches-first-phase-of-5-gw-pv-factory-in-laos/,,Operational
Solar,FDI183016,First Solar,United States,Completed,Vietnam,"Ho Chi Minh City (Cu Chi District, Industrial Zone 3)",2011,2018,Solar,Manufacturing,1067,0,0,0,,https://www.firstsolar.com/About-Us/Locations,https://www.firstsolar.com/About-Us/Locations,https://www.renewableenergyworld.com/solar/first-solar-begins-buidling-250mw-vietnam-factory/,https://www.firstsolar.com/About-Us/Locations,,https://www.renewableenergyworld.com/solar/first-solar-begins-buidling-250mw-vietnam-factory/ (year only),https://www.firstsolar.com/About-Us/Locations (year only),https://www.firstsolar.com/About-Us/Locations,,Operational
Solar,HARSOL70,JA Solar,China,Completed,Vietnam,Bac Giang (Bắc Giang),2016,2016,Solar,Manufacturing,1000,0,0,0,,https://www.energytrend.com/news/20161130-11219.html,https://www.pv-magazine.com/2016/11/28/ja-solar-breaks-ground-on-1bn-vietnam-solar-cell-factory-reports_100027025/,https://www.pv-magazine.com/2016/11/28/ja-solar-breaks-ground-on-1bn-vietnam-solar-cell-factory-reports_100027025/,https://www.energytrend.com/news/20161130-11219.html,,https://www.pv-magazine.com/2016/11/28/ja-solar-breaks-ground-on-1bn-vietnam-solar-cell-factory-reports_100027025/,https://www.greentechmedia.com/articles/read/nanosolar-boosts-cells-efficiency-starts-mass-production,https://theinvestor.vn/chinas-ja-solar-approved-to-invest-extra-378-mln-in-northern-vietnam-d7231.html,,Operational
Solar,HARSOL81,Jinko Solar,China,Announced,Saudi Arabia,Saudi Arabia (TBD),2024,N/A,Solar,Manufacturing,1000,0,1,1,"RELC, VI",https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia,https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia,[UNVERIFIED] https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia,https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia,https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia,https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia 07/16/2024,https://redchipblog.wordpress.com/category/worldwide-energy-and-manufacturing/,https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia,https://ir.jinkosolar.com/news-releases/news-release-details/jinkosolar-form-joint-venture-relc-and-vi-saudi-arabia,Announced only
Solar,HARSOL99,Maxeon,China,Announced,United States,Albuquerque (New Mexico),2024,N/A,Solar,Manufacturing,1000,0,0,0,,"https://mediaroom.maxeon.com/2023-08-10-Maxeon-Solar-Technologies-Selects-Albuquerque,-New-Mexico-as-Site-for-New-3-Gigawatt-Solar-Cell-and-Panel-Manufacturing-Facility",https://www.prnewswire.com/news-releases/maxeon-solar-technologies-selects-albuquerque-new-mexico-as-site-for-new-3-gigawatt-solar-cell-and-panel-manufacturing-facility-301897874.html,"https://mediaroom.maxeon.com/2023-08-10-Maxeon-Solar-Technologies-Selects-Albuquerque,-New-Mexico-as-Site-for-New-3-Gigawatt-Solar-Cell-and-Panel-Manufacturing-Facility","https://mediaroom.maxeon.com/2023-08-10-Maxeon-Solar-Technologies-Selects-Albuquerque,-New-Mexico-as-Site-for-New-3-Gigawatt-Solar-Cell-and-Panel-Manufacturing-Facility",,https://www.governor.state.nm.us/2023/08/10/gov-michelle-lujan-grisham-announces-a-billion-dollar-solar-manufacturing-project-in-new-mexico/,https://www.pv-tech.org/wp-content/uploads/legacy-publication-pdfs/b7cdf54743-lowcost-highefficiency-solar-cells-for-the-future-isc-konstanzs-technology-zoo.pdf,https://www.prnewswire.com/news-releases/maxeon-solar-technologies-selects-albuquerque-new-mexico-as-site-for-new-3-gigawatt-solar-cell-and-panel-manufacturing-facility-301897874.html,,Announced only
Solar,HARSOL8,Astronergy,China,Completed,Thailand,Snuol,2016,2016,Solar,Manufacturing,932,0,0,0,,https://www.astronergy.com/,https://www.astronergy.com/astronergy-thailand-manufacturing-base-perfect-its-industry-chain-with-wafer-lines/,https://www.astronergy.com/astronergy-thailand-manufacturing-base-perfect-its-industry-chain-with-wafer-lines/,https://theinvestor.vn/chinas-trina-solar-to-pour-additional-454-mln-into-solar-cell-plant-in-northern-vietnam-d8659.html,,https://www.astronergy.com/astronergy-thailand-manufacturing-base-perfect-its-industry-chain-with-wafer-lines/,https://www.astronergy.com/astronergy-thailand-manufacturing-base-perfect-its-industry-chain-with-wafer-lines/,https://www.astronergy.com/astronergy-thailand-manufacturing-base-perfect-its-industry-chain-with-wafer-lines/,,Operational
Solar,HARSOL118,SolarSpace,China,Completed,Cambodia,Snuol,2022,2023,Solar,Manufacturing,932,0,0,0,,https://www.pv-magazine.com/2023/03/10/solarspace-opens-1-2-gw-solar-module-factory-in-cambodia/,https://www.pv-magazine.com/2023/03/10/solarspace-opens-1-2-gw-solar-module-factory-in-cambodia/,https://www.pv-tech.org/industry-updates/solarspace-subsidiary-launches-operations-in-cambodia/,https://theinvestor.vn/chinas-trina-solar-to-pour-additional-454-mln-into-solar-cell-plant-in-northern-vietnam-d8659.html,,https://www.trinasolar.com/en-apac/resources/newsroom/aptrina-solar-deliver-210mm-550w-high-power-vertex-modules-north-america-newly/,https://www.pv-magazine.com/2023/03/10/solarspace-opens-1-2-gw-solar-module-factory-in-cambodia/ (year only),https://www.pv-magazine.com/2023/03/10/solarspace-opens-1-2-gw-solar-module-factory-in-cambodia/,,Operational
